Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
-0.3182,Tue Aug 28 21:25:05 +0000 2018,0.892,0.108,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A day out from their big-ticket debate, a leaked email has brought up the temperature in the race between New York… https://t.co/tOBU6p437p",249
0.0,Tue Aug 28 21:20:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",John McCain's goodbye is in classic tradition of George Washington's Farewell Address | By John Avlon via… https://t.co/N20oEjUFqJ,250
-0.4019,Tue Aug 28 21:15:03 +0000 2018,0.711,0.182,0.107,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","UN Secretary General addresses the body's Security Council regarding the Rohingya refugee crisis, calling for the M… https://t.co/jmZ6SzmjCy",251
-0.6249,Tue Aug 28 21:10:07 +0000 2018,0.823,0.177,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A 9-year-old ended his own life on Thursday, shortly after coming out as gay and being bullied at school, according… https://t.co/6CA5J2nxad",252
0.0,Tue Aug 28 21:00:14 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Elon Musk is lashing out on Twitter again https://t.co/FsmJvIngcP https://t.co/N1eC508CRK,253
0.3612,Tue Aug 28 20:55:04 +0000 2018,0.844,0.0,0.156,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The top elections official in Arizona's most populous county said he will petition to extend voting hours in the pr… https://t.co/RhO0mV4Sv0,254
0.7096,Tue Aug 28 20:50:04 +0000 2018,0.742,0.0,0.258,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Country music stars were tweeting bright and early after the nominations for the 2018 CMA Awards were announced… https://t.co/AvD492IvHc,255
-0.3612,Tue Aug 28 20:40:04 +0000 2018,0.878,0.122,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","GOP Sen. Lindsey Graham this week argued that President Trump deserves to replace Attorney General Jeff Sessions, s… https://t.co/5gQAie2tx0",256
-0.5095,Tue Aug 28 20:38:51 +0000 2018,0.87,0.13,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @TheLeadCNN: “Lindsey Graham, in a very unfortunate way in my opinion, has decided to carry water for Trump – for whatever reason, he th…",257
0.5574,Tue Aug 28 20:30:07 +0000 2018,0.787,0.0,0.213,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Whole Foods doesn't look much different since Amazon bought it a year ago, but incumbents like Walmart, Kroger, Cos… https://t.co/ElGGwqwBjL",258
0.7906,Tue Aug 28 20:25:00 +0000 2018,0.72,0.0,0.28,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This is how Ruth Bader Ginsburg, the oldest sitting Supreme Court Justice, stays in shape. She attributes her long… https://t.co/E3sd6jOm1p",259
0.5859,Tue Aug 28 20:20:44 +0000 2018,0.758,0.0,0.242,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @CNNMoney: S&amp;P 500 gains a fraction of a point. Nasdaq gains 0.2%. Dow finishes up 14 points. https://t.co/E9IkqtvczQ,260
-0.7845,Tue Aug 28 20:20:04 +0000 2018,0.723,0.277,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A dozen prisoners have died in the custody of Mississippi authorities this month and, with the exception of two dea… https://t.co/JuBp9bt2qu",261
0.25,Tue Aug 28 20:16:54 +0000 2018,0.889,0.0,0.111,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Without evidence, Trump reiterated claims about Google's search results, saying the company is ""taking advantage of… https://t.co/leGoaC1RUF",262
0.0,Tue Aug 28 20:10:10 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The US Food and Drug Administration has again expanded the list of recalled medications that contain valsartan, use… https://t.co/pFICM2zkWz",263
0.5859,Tue Aug 28 20:05:03 +0000 2018,0.806,0.0,0.194,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Lindsey Graham took to the Senate floor to give an emotional farewell to his friend and colleague, Sen. John M… https://t.co/SgOTTnb1UX",264
-0.765,Tue Aug 28 20:00:12 +0000 2018,0.72,0.28,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The newspaper industry has been fighting tariffs on Canadian paper for months, claiming that they will devastate an… https://t.co/csHvCRvt4f",265
-0.7184,Tue Aug 28 19:40:09 +0000 2018,0.714,0.286,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A federal court's rejection of North Carolina's GOP-rigged congressional district map has thrown in doubt 13 voting… https://t.co/3o7QCOfp2V,266
-0.6369,Tue Aug 28 19:30:07 +0000 2018,0.833,0.167,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The police officer who fatally shot an unarmed black man in Tulsa now teaches a course on how other cops can 'survi… https://t.co/JU9By8rEsE,267
0.0,Tue Aug 28 19:20:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Slowed new construction and a short supply of existing homes for sale have pushed housing prices so high that buyer… https://t.co/bWZHWaDkSK,268
-0.2732,Tue Aug 28 19:11:18 +0000 2018,0.763,0.161,0.076,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""John taught us how to lose. ... He failed a lot but he never quit."" Sen. Lindsey Graham pays emotional tribute to… https://t.co/oSobdv1y8M",269
0.3612,Tue Aug 28 19:10:38 +0000 2018,0.889,0.0,0.111,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: ""I learned that serving a cause greater than yourself hurts,"" a tearful Sen. Lindsey Graham says. ""He couldn't put his jac…",270
0.2924,Tue Aug 28 19:10:05 +0000 2018,0.88,0.0,0.12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Don't be fooled: Democrats' rule changes on superdelegates don't change much of anything | Analysis by @CillizzaCNN… https://t.co/vMEzaYhANG,271
0.5994,Tue Aug 28 19:01:02 +0000 2018,0.855,0.0,0.145,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: ""Love: Not a word often associated with Senator McCain. But it should be. Because if you were loved by him, you knew it,""…",272
0.7278,Tue Aug 28 19:00:27 +0000 2018,0.579,0.096,0.325,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","""I do not cry for a perfect man. I cry for a man who had honor and always was willing to admit to his imperfection,… https://t.co/Bacv1Xv9oo",273
-0.7506,Tue Aug 28 19:00:09 +0000 2018,0.652,0.348,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/ukYaN3LeVo https://t.co/U7oUvxyJdk",274
0.6369,Tue Aug 28 18:50:26 +0000 2018,0.802,0.0,0.198,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: Sen. Lindsey Graham jokes about his tie during his Senate floor tribute to his friend John McCain: ""This is a Naval Academ…",275
-0.4404,Tue Aug 28 18:50:06 +0000 2018,0.873,0.127,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The owner of a company that builds 3D-printed guns said he has begun selling blueprints of the weapons to elude a c… https://t.co/MuF0SKhQ7K,276
-0.7184,Tue Aug 28 18:40:10 +0000 2018,0.72,0.28,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Teacher strikes cancel the first day of school in two Washington state districts -- and more strikes could follow i… https://t.co/VxaRkN2Wyn,277
0.4215,Tue Aug 28 18:30:12 +0000 2018,0.859,0.0,0.141,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Instagram has announced three new features related to safety on the platform, including providing more details abou… https://t.co/WjOMhtAS6G",278
0.5106,Tue Aug 28 18:24:36 +0000 2018,0.829,0.0,0.171,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Lindsey Graham honors John McCain with a speech from the Senate floor. https://t.co/UYpqI3w42L

Watch on Faceb… https://t.co/palVYXvRTy",279
-0.5859,Tue Aug 28 18:20:04 +0000 2018,0.798,0.202,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The government is starting to pay farmers that have been hurt by the fallout of President Trump's widening trade fe… https://t.co/HFAljLOash,280
0.4215,Tue Aug 28 18:10:07 +0000 2018,0.865,0.0,0.135,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Nearly 2.3 million cases of chlamydia, gonorrhea and syphilis were diagnosed in the United States in 2017, accordin… https://t.co/NIVj5Dt0uc",281
-0.2732,Tue Aug 28 18:00:02 +0000 2018,0.846,0.154,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/2ALJIINaV7",282
0.0,Tue Aug 28 17:50:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Students are learning and experimenting inside Google's virtual labs https://t.co/67I3wkr9GM https://t.co/Q7q0zgWr4C,283
